entity,year,value
World,1992,1.24
World,2000,1.47
World,2005,1.7
World,2010,2.01
World,2015,2.16
World,2020,2.26
World,2022,2.44
World,2023,2.4
Ukraine,1992,1.94
Ukraine,2000,0.82
Ukraine,2005,0.69
Ukraine,2010,1.85
Ukraine,2015,1.91
Ukraine,2020,0.73
Ukraine,2022,0.58
Ukraine,2023,0.57
