entity,year,value
World,2000,31.298298
World,2005,35.131767
World,2010,41.486298
World,2015,48.39314
World,2020,55.181293
World,2022,57.031868
World,2023,57.800407
World,2024,58.49519
Ukraine,2000,87.61346
Ukraine,2005,88.84902
Ukraine,2010,90.3692
Ukraine,2015,91.54349
Ukraine,2020,92.08095
Ukraine,2022,92.239044
Ukraine,2023,92.316925
Ukraine,2024,92.39389
