entity,year,value
World,1992,80.51
World,2000,85.97
World,2005,98.25
World,2010,109.94
World,2015,113.98
World,2020,123.18001
World,2022,114.77
World,2023,116.43
Ukraine,1992,78.130005
Ukraine,2000,13.139999
Ukraine,2005,16.73
Ukraine,2010,31.779999
Ukraine,2015,42.03
Ukraine,2020,73.68
Ukraine,2022,54.23
Ukraine,2023,41.45
