entity,year,value
World,2000,61.261635
World,2005,62.821815
World,2010,64.84133
World,2015,67.69277
World,2020,70.53926
World,2022,71.57286
World,2023,72.05648
World,2024,73.735176
Ukraine,2000,66.34534
Ukraine,2005,71.95431
Ukraine,2010,84.61242
Ukraine,2015,88.54608
Ukraine,2020,88.20942
Ukraine,2022,88.07501
Ukraine,2023,87.98573
Ukraine,2024,87.86838
