entity,year,value
World,1990,36.67
World,2000,36.849155
World,2010,36.03034
World,2015,36.535892
World,2019,33.38451
World,2020,32.501842
World,2021,33.198826
World,2022,32.732143
Ukraine,1990,36.055164
Ukraine,2000,30.43958
Ukraine,2010,20.136063
Ukraine,2015,17.144812
Ukraine,2019,16.290163
Ukraine,2020,15.992964
Ukraine,2021,15.727805
Ukraine,2022,14.023371
