entity,year,value
World,2002,17.76
World,2007,18.22
World,2012,17.96
World,2017,18.34
World,2022,18.01
Ukraine,2002,22.03
Ukraine,2007,19.42
Ukraine,2012,16.68
Ukraine,2017,13.87
Ukraine,2022,6.3
