entity,year,value
World,1850,196847600
World,1900,1962883800
World,1950,5930406000
World,1970,14899139000
World,1990,22732145000
World,2000,25511483000
World,2010,33317670000
World,2022,37527773000
World,2023,38094040000
Ukraine,1990,706525700
Ukraine,2000,285663500
Ukraine,2010,294365800
Ukraine,2015,223849810
Ukraine,2020,207100640
Ukraine,2021,210636080
Ukraine,2022,143039870
Ukraine,2023,139325380
