companyId,companyName,addressAdminUnitL2,addressPostName,addressThoroughfare,addressLocatorDesignator,permissionNum,permissionIssued,permissionValid,companyGroup,permissionStatusNum,permissionStatusIssued,source_file,validity_type,permissionValidDate,is_expired
40736920,"ТОВ ""НАЙСВУД""",Вінницька,Великі Крушлинці,Шевченка,20,520680803-2,2021-01-18,2031-01-18,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-18,False
2289810071,ФОП  ТКАЧЕНКО СЕРГЙ ОЛЕКСАНДРОВИЧ,Вінницька,Козятин,Пролетарська,96,510500000-114,2021-01-19,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33649363,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ВІННИЦЯОБЛТЕПЛОЕНЕРГО""",Вінницька,Вінниця,Сонячна,3,510136600-365/1,2021-01-19,2028-07-13,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2028-07-13,False
33623350,"ТОВ ""СХК ""ВІННИЦЬКА ПРОМИСЛОВА ГРУПА""",Вінницька,Сугаки,Незалежності,1Е,522687001-2,2021-01-19,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33623350,"ТОВ ""СХК ""ВІННИЦЬКА ПРОМИСЛОВА ГРУПА""",Вінницька,Івашківці,Центральна,1,525382201-3,2021-01-19,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33623350,"ТОВ ""СХК ""ВІННИЦЬКА ПРОМИСЛОВА ГРУПА""",Вінницька,Писарівка,Шкільна,1А,521686501-4,2021-01-19,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33623350,"ТОВ ""СХК ""ВІННИЦЬКА ПРОМИСЛОВА ГРУПА""",Вінницька,Сокіл,Хлібороб,,524986001-3,2021-01-19,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
40075815,"ПАТ ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ"" ",Вінницька,Жмеринка,Птахіна,1,510300000-147/1,2021-01-20,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32721930,"ТОВ ""ПЕРЕМОГА""",Вінницька,Клебань,Урожайна,22,524383201-7,2021-01-20,2031-01-20,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-20,False
32225737,"ТОВ ""АГРОФІРМА ""УКРАЇНА-О""",Вінницька,Каташин,Молодіжна,42А,525083201-3,2021-01-20,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
688798,"ТОВ ""ЗЕРНОЛІЯ""",Вінницька,Жмеринка,Барляєва,2,510300000-189,2021-01-20,2031-01-20,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-20,False
40075815,"АТ ""УКРАЇНСЬКА ЗАЛІЗНИЦЯ""",Вінницька,Жмеринка,Барляєва,4/6,510300000-188,2021-01-21,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
30054626,"ПРИВАТНЕ ПІДПРИЄМТСВО ""ТРЕЙДСЕРВІС""",Вінницька,Вінниця,З. Зулінського,42Б,510136300-432,2021-01-21,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
3386414131,ФОП ЧЕРКІС СЕРГІЙ ВІКТОРОВИЧ,Вінницька,Вінниця,Хмельницьке шосе,105,510136600-416,2021-01-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
41043826,"ТОВ ""ЛЮКС 24""",Вінницька,Райгород,А/Д Львів-Кіровоград-Знаменка,444КМ+600 ПРАВОРУЧ,523086400-1,2021-01-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
41043826,"ТОВ ""ЛЮКС 24""",Вінницька,Гайсин,1 травня,185Б,520810100-145,2021-01-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33845116,"ТОВ ""СИТКОВЕЦЬКЕ""",Вінницька,Ситківці,Мандролька,19,523055600-11,2021-01-22,2031-01-22,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-22,False
32225737,"ТОВ ""АГРОФІРМА ""УКРАЇНА-О""",Вінницька,Каташин,Комарова,98,525083201-4,2021-01-22,2031-01-22,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-22,False
23107137,"ПП АГРОФІРМА ""КОМОРА""",Вінницька,Тростянець,Наконечного,15,524155100-64,2021-01-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
37582308,"ТОВ ""БІОАЛЬТЕРНАТИВА""",Вінницька,Гайсин,Соборна,44,520810100-146,2021-01-22,2031-01-22,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-01-22,False
20102091,"ФГ ""ЛАСТІВКА-1""",Вінницька,Ганнопіль,Фермерська,1,524380201-6,2021-01-25,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32225737,"ТОВ ""АГРОФІРМА ""УКРАЇНА-О""",Вінницька,Каташин,Л. Українки,110,525083202-6,2021-01-26,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32495389,"ТОВ ""УКРХІМРЕСУРС""",Вінницька,Калинівка,В. Нестерчука,1,521610100-123,2021-01-27,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
37695570,"ТОВ ""АГРАНА ДЖУС Україна""",Вінницька,Вінниця,С. Зулінського,32,510136300-433,2021-01-28,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
33623350,"ТОВ ""СХК ""ВІННИЦЬКА ПРОМИСЛОВА ГРУПА""",Вінницька,Котюжинці,,,521683803-4,2021-02-01,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
36187994,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГРОКРЯЖ""",Вінницька,Станіславчик,Крупської,4А,521085803-3/1,2021-02-02,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
30641749,"ПРИВАТНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ""ЄДНІСТЬ""",Вінницька,Дубовець,,,523084602-1,2021-02-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
37898450,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ФЕРІДЕ ПЛАЗА""",Вінницька,Вінниця,Пирогова,23Б,510136600-220/1,2021-02-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
3728245,"СТОВ ""КОЛОС""",Вінницька,Хоменки,Дружня,85,525388301-1,2021-02-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
3728245,"СТОВ ""КОЛОС""",Вінницька,Хоменки,І. Цурканя,23,525388301-2,2021-02-03,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32490244,"ТОВ ""ЕПІЦЕНТР К""",Вінницька,Зарванці,Хмельницьке шосе,1А,520688906-14/1,2021-02-04,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
991410,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БЕРШАДСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""",Вінницька,Сумівка,Зелена,1А,520485003-6,2021-02-04,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
991410,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""БЕРШАДСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""",Вінницька,Цибулівка,Соборна,9,524186501-3,2021-02-04,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
37582308,"ТОВ ""БІОАЛЬТЕРНАТИВА""",Вінницька,Гайсин,1 травня,64,520810100-147,2021-02-05,2031-02-05,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-05,False
36187994,"СТОВ ""АГРОКРЯЖ""",Вінницька,Вила Ярузькі,,,524982001-2/1,2021-02-08,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
13303417,"ПП ""НАТАЛЕКС""",Вінницька,Гайсин,1 травня,69А,520810100-148,2021-02-09,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
2011031,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ВІННИЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ.М.ПИРОГОВА ВІННИКОЇ ОБЛАСНОЇ РАДИ""",Вінницька,Вінниця,Пирогова,46,510136600-417,2021-02-09,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
35322725,"ФГ ""ОЛЬВІЯ-С""",Вінницька,Сопин,Центральна,1Б,523482803-4,2021-02-11,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
20103222,"СЕЛЯНСЬКЕ ФЕРМЕРСЬКЕ ГОСПОДАРСТВО ""НИВА""",Вінницька,Торчин,Шевченка,30,524887003-2,2021-02-11,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
13299242,"ПП ""ГОРИЗОНТ-ВК""",Вінницька,Стрижавка,Молодіжна,16,520655900-74,2021-02-12,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
37582308,"ТОВ ""БІОАЛЬТЕРНАТИВА""",Вінницька,Вінниця,Стрілецька,105,510136300-434,2021-02-12,2031-02-12,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-12,False
1557213,"ПрАТ ""ВІННИЦЬКИЙ УНІВЕРМАГ""",Вінницька,Вінниця,Гагаріна,2,510136600-418,2021-02-12,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
1982608,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МУРОВАНОКУРИЛОВЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ""",Вінницька,Муровані Курилівці,Жовтнева,87,522855100-25,2021-02-17,2031-02-17,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-17,False
42193733,"ТОВ ""МАКСИМУМ ЮНІОН""",Вінницька,Леляки,Автодорога Лука Барська-Біликівці-Жмеринка-Ямпіль,"25КМ+700М, БУД.1",521083603-3,2021-02-17,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32505648,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ХМІЛЬНИККОМУНСЕРВІС""",Вінницька,Хмільник,Пушкіна,107А,510900000-122,2021-02-18,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
32505648,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ХМІЛЬНИККОМУНСЕРВІС""",Вінницька,Соколова,За межами населеного пункту,ХМІЛЬНИЦЬКА МІСЬКА ОБЄДНАННА ГРОМАДА,524886801-3,2021-02-18,2031-02-18,,,,voda-list-permits-pollutant-emissions122025.csv,dated,2031-02-18,False
34094924,"ТОВ ""НАФТОГРУППА-2005""",Вінницька,Вінниця,Юності,81А,510136600-419,2021-02-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34094924,"ТОВ ""НАФТОГРУППА-2005""",Вінницька,Іллінці,Незалежності,114Ж,521210100-71,2021-02-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34094924,"ТОВ ""НАФТОГРУППА-2005""",Вінницька,Погребище,Тракторна,56Д,523410100-116,2021-02-22,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34680928,"СТОВ ""ВІДРОДЖЕННЯ-2008""",Вінницька,Сальниця,Соборна,3,524886101-6,2021-02-23,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
34094924,"ТОВ ""НАФТОГРУППА-2005""",Вінницька,Вінниця,Ватутіна,139А,510136300-435,2021-02-23,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Шаргород,Героїв майдану,217Б,525310100-35,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Жмеринка,Грушевського,19,510300000-190,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Тростянець,Соборна,32,524155100-65,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Бар,Майдан Святого Миколая,10Б,520210100-61,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Оратів,Героїв майдану,76А,523155100-52,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
5392714,ВІННИЦЬКИЙ ОБЛАСНИЙ ЦЕНТР ЗАЙНЯТОСТІ,Вінницька,Гайсин,Миру,2,520810100-149,2021-02-24,необмежений,,,,voda-list-permits-pollutant-emissions122025.csv,unlimited,,False
