Post_ID,Post_Name,Post_Code,Riverbas_Name,WaterLab_Name,Latitude,Longitude,Controle_Date,Azot,BSK5,Zavisli,Kisen,Sulfat,Hlorid,Amoniy,Nitrat,Nitrit,Fosfat,SPAR,Permanganat,HSK,Fitoplan,Atrazin,Simazin,source_file
38118,"р. Самоткань, 0 км, м. Вільногірськ, нижче міста (вплив кар'єрів)",UA_M5.1.2_1560_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,48.5206,34.0886,2026-02-03,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38130,"р. Хомора, 7 км, смт Понінка, Полонського р-ну, межа області",UA_M5.1.4_0573_01,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.193747,27.596456,2026-02-03,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38132,"р. Десна, 35 км, с. Літки",UA_M5.1.5_0001_03,Дніпро,Лабораторія моніторингу вод  Північного регіону,50.7023,30.7269,2026-02-10,,3.1,5.0,8.0,39.7,16.53,0.46,5.56,0.03,0.3599999999999999,,,30.26,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38136,"р. Орелька, 15 км, с.Червона Долина",UA_M5.1.3_0032_01,Дніпро,Лабораторія моніторингу вод Східного регіону,49.034639,36.103833,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38139,"р. Берестова, 0 км, м. Берестин",UA_M5.1.3_0074_01,Дніпро,Лабораторія моніторингу вод Східного регіону,49.356778,35.460833,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38140,"р. Вошива, 0 км, с. Кобзівка",UA_M5.1.3_0091_01,Дніпро,Лабораторія моніторингу вод Східного регіону,49.218583,35.565833,2026-02-09,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38142,"р. Прядівка, 8,3 км, с. Лисківка, нижче автомобільного мосту, північна околиця села",UA_M5.1.3_0129_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.907078,34.567447,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38146,"р. Самара, 139 км, м. Павлоград, гідрологічний пост р. Самара, на 40 м вище залізничного мосту Павлоград - Лозова",UA_M5.1.3_0135_02,Дніпро,Лабораторія моніторингу вод Східного регіону,48.572497,35.870758,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38148,"р. Самара, 105 км, с. Кочережки, гідрологічний пост р. Самара, на південно-західній околиці села, на 344 м вище автодорожнього моста",UA_M5.1.3_0136_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.659286,35.660133,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38150,"р. Самара, 25,2 км, м. Новомосковськ, нижче автодорожнього мосту, лівий берег",UA_M5.1.3_0136_02,Дніпро,Лабораторія моніторингу вод Східного регіону,48.626272,35.27185,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38152,"р. Самара, 4,4 км, Самарська затока, правий берег, 420 м вище залізничного мосту",UA_M5.1.3_0138_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.484942,35.156131,2026-02-11,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
38160,"р. Мала Тернівка, 5,4 км, с. Морозівське, північно-західніше залізничного переїзду",UA_M5.1.3_0199_01,Дніпро,Лабораторія моніторингу вод Східного регіону,48.636394,35.885958,2026-02-23,,,,,,,,,,,,,,,0.0,0.0,2026-02-01_2026-02-28_output.csv
