river_basin,observation_count,unique_posts,avg_dissolved_oxygen,avg_bod5,avg_nitrate,avg_phosphate,latest_sample_date
Дніпро,138,138,9.67236507936508,2.7816129032258066,3.155516129032258,0.39232258064516123,2026-02-24
Дунай,88,88,9.24,2.4716129032258065,3.5349999999999997,0.8831111111111111,2026-02-19
Дністер,86,85,10.2295,6.981,6.005,0.6765555555555556,2026-02-17
Дон,46,46,7.854545454545454,3.972727272727273,9.85,1.0172727272727273,2026-02-16
Вісла,21,21,9.41,8.48,6.685,1.0773333333333333,2026-02-11
Південний Буг,18,18,8.687777777777777,2.7156249999999997,7.128125,0.554125,2026-02-18
Річки Причорномор'я,8,8,6.66125,3.004,7.26,2.48,2026-02-24
