admin_unit,settlement,permit_count,unlimited_count,expired_count,first_issued,latest_issued
Вінницька,Жежелiв,1,0,0,2021-07-30,2021-07-30
Вінницька,Жеребилівка,1,1,0,2022-01-18,2022-01-18
Вінницька,Гранів,1,1,0,2021-12-07,2021-12-07
Вінницька,Громадське,1,0,0,2025-01-22,2025-01-22
Вінницька,Грушківці,1,0,0,2021-07-09,2021-07-09
Вінницька,Гуменне,1,1,0,2022-12-27,2022-12-27
Вінницька,Соколівка,1,0,0,2021-08-20,2021-08-20
Вінницька,Торканівка,1,1,0,2021-09-28,2021-09-28
Вінницька,Станилівка,1,0,0,2022-07-29,2022-07-29
Вінницька,Станція Копай ,1,1,0,2023-10-11,2023-10-11
Вінницька,Станіславчик,1,1,0,2021-02-02,2021-02-02
Вінницька,Стара Гута,1,1,0,2021-03-03,2021-03-03
Вінницька,Стара Прилука,1,1,0,2022-01-27,2022-01-27
Вінницька,Старостинці,1,0,0,2022-06-15,2022-06-15
Вінницька,Степанки,1,1,0,2021-08-06,2021-08-06
Вінницька,Стражгород,1,0,0,2021-03-11,2021-03-11
Вінницька,Стрижавська,1,0,0,2024-11-28,2024-11-28
Вінницька,Струтинка,1,0,0,2025-02-06,2025-02-06
Вінницька,Сугаки,1,1,0,2021-01-19,2021-01-19
Вінницька,Теплицька селищна територіальна громада,1,1,0,2021-11-17,2021-11-17
Вінницька,Теплицька територіальна громада,1,1,0,2024-10-04,2024-10-04
Вінницька,Слобода-Межерівська,1,1,0,2021-03-10,2021-03-10
Вінницька,Слобідка,1,0,0,2021-09-17,2021-09-17
Вінницька,Хрінівка,1,1,0,2021-02-26,2021-02-26
Вінницька,Чемериси-Барські,1,1,0,2021-09-09,2021-09-09
Вінницька,Богданівка,1,1,0,2023-08-24,2023-08-24
Вінницька,Бондурівка,1,1,0,2021-12-15,2021-12-15
Вінницька,Борщагівка,1,0,0,2021-07-09,2021-07-09
Вінницька,Борівка,1,1,0,2021-07-29,2021-07-29
Вінницька,Браїлвів,1,1,0,2025-10-20,2025-10-20
Вінницька,Бруслинівка,1,1,0,2021-06-09,2021-06-09
Вінницька,Бугаївка,1,0,0,2024-09-17,2024-09-17
Вінницька,Будки,1,1,0,2024-08-16,2024-08-16
Вінницька,Буцні,1,1,0,2022-02-03,2022-02-03
Вінницька,Біла,1,1,0,2022-01-26,2022-01-26
Вінницька,Білашки,1,1,0,2021-05-25,2021-05-25
Вінницька,Територія Тульчинської міської ради,1,0,0,2023-07-12,2023-07-12
Вінницька,Тернівка,1,1,0,2023-08-14,2023-08-14
Вінницька,Тиврівська громада,1,1,0,2023-06-07,2023-06-07
Вінницька,Бережани,1,1,0,2022-06-02,2022-06-02
Вінницька,А/Д М-12 Стрий-Тернопіль-Кропивницький-Знамянка,1,1,0,2021-07-02,2021-07-02
Вінницька,А/Ш М-21 Житомир-Могилів-Подільський,1,1,0,2021-06-25,2021-06-25
Вінницька,Автодорога Житомир-Мргилів -Подільський,1,1,0,2023-12-14,2023-12-14
Вінницька,Шаргород ,1,1,0,2025-09-18,2025-09-18
Вінницька,,1,0,0,2024-03-28,2024-03-28
Вінницька,Шабельня,1,1,0,2021-09-14,2021-09-14
Вінницька,Шарапанівка,1,1,0,2023-11-13,2023-11-13
Вінницька, Камяногірка,1,1,0,2021-06-10,2021-06-10
Вінницька, Вінниця,1,1,0,2023-10-16,2023-10-16
Вінницька,Ясенки,1,1,0,2023-03-27,2023-03-27
Вінницька,с. Козятин,1,1,0,2025-04-10,2025-04-10
Вінницька,А/Д Львів-Кропивницький-Знамянка,1,1,0,2021-07-02,2021-07-02
Вінницька,Тростянецька селищна територіальна громада с. Глибочок,1,1,0,2022-09-06,2022-09-06
Вінницька,Тростянчик,1,1,0,2021-09-28,2021-09-28
Вінницька,Троща,1,0,0,2021-09-24,2021-09-24
Вінницька,Землі Тульчинської громади,1,0,0,2022-05-17,2022-05-17
Вінницька,Йосипівка,1,1,0,2024-10-15,2024-10-15
Вінницька,Широка гребля,1,1,0,2023-10-18,2023-10-18
Вінницька,Широке,1,1,0,2022-12-27,2022-12-27
Вінницька,Шляхова,1,1,0,2021-12-09,2021-12-09
Вінницька,Юрківці,1,0,0,2022-06-14,2022-06-14
Вінницька,Яблуновиця,1,0,0,2024-03-25,2024-03-25
Вінницька,Якимівка,1,1,0,2021-06-04,2021-06-04
Вінницька,Якушенці,1,1,0,2021-09-24,2021-09-24
Вінницька,Якушинецька громада,1,1,0,2023-05-30,2023-05-30
Вінницька,Чернятка,1,1,0,2023-01-30,2023-01-30
Вінницька,Чеснівка,1,1,0,2021-10-13,2021-10-13
Вінницька,Четвепртинівка,1,1,0,2023-12-11,2023-12-11
Вінницька,Човновиця,1,1,0,2022-03-02,2022-03-02
Вінницька,Чорномин,1,0,0,2021-09-16,2021-09-16
Вінницька,Чортория,1,0,0,2021-01-06,2021-01-06
