year,fertility,life_expectancy
1950,4.852,46.394
1960,4.696,47.82
1970,4.825,56.266
1980,3.744,60.502
1990,3.31,63.955
2000,2.754,66.433
2010,2.602,70.089
2020,2.322,71.917
2023,2.251,73.169
