year,births,deaths,net,turnover,birth_death_ratio,net_rate_per_1000,turnover_rate_per_1000
1950,91823940,48486892,43337048,140310832,1.8937889440304814,17.382845554763158,56.27982603513557
1960,102378080,54612440,47765640,156990520,1.8746292969147689,15.840192712269955,52.061693108256705
1970,124135900,48163468,75972432,172299368,2.5773870768608274,20.562634378448248,46.63440164481908
1980,127446984,47349924,80097060,174796908,2.69159849126685,18.009026806293893,39.30134516584364
1990,143461420,49794344,93667076,193255764,2.881078622102141,17.58080659822341,36.27306793345302
2000,135758480,52240370,83518110,187998850,2.5987273826735913,13.532425346498268,30.461422113749055
2010,143354240,54268588,89085652,197622828,2.6415693734283265,12.687133343417257,28.144455523985087
2020,134719620,63546316,71173304,198265936,2.120022504530396,9.02412734473182,25.13831667258905
2023,132110264,61651610,70458654,193761874,2.1428518087362196,8.707484190152229,23.945652644872666
