year,births,deaths,net,turnover,birth_death_ratio,net_rate_per_1000,turnover_rate_per_1000
1950,91823940,48486892,43337048,140310832,1.8937889440304814,17.382845554763158,56.27982603513557
1951,92507130,48176160,44330970,140683290,1.9201847967957595,17.47427868672395,55.45421216872097
1952,97371460,47383364,49988096,144754824,2.0549714452523884,19.34459202319068,56.017796990482914
1953,97291460,47239576,50051884,144531036,2.0595328798040016,19.001467450682068,54.86909895674174
1954,100187860,46662428,53525432,146850288,2.1470777302887023,19.928342265707688,54.674622730401246
1955,101747970,46635656,55112314,148383626,2.181763455841599,20.112413885533183,54.150382797357466
1956,101759016,46479064,55279952,148238080,2.189351661642756,19.775257360450638,53.02910144746635
1957,106017736,46880776,59136960,152898512,2.2614330445383413,20.730764910730006,53.599358294244944
1958,104644160,46518264,58125896,151162424,2.2495284862736926,19.965960521700648,51.923552110896914
1959,101999840,50724510,51275330,152724350,2.0108590501909234,17.287993374535077,51.49255111435024
1960,102378080,54612440,47765640,156990520,1.8746292969147689,15.840192712269955,52.061693108256705
1961,100950940,49918924,51032016,150869864,2.022297996647524,16.650631645536446,49.22553974501379
1962,112038710,46061450,65977260,158100160,2.4323747949749737,21.123712180930557,50.61838390377336
1963,119802890,46913210,72889680,166716100,2.553713335753405,22.829335172144496,52.216139863596034
1964,117292200,46822880,70469320,164115080,2.5050189138301615,21.586642126552118,50.27284922758544
1965,117837010,48213548,69623462,166050558,2.444064270067824,20.879519613553406,49.79723476839585
1966,117232950,47841524,69391426,165074474,2.450443468314262,20.38501396709475,48.4936778515089
1967,116920264,47568790,69351474,164489054,2.4579196569851787,19.96637786979679,47.35660856479286
1968,121825890,47629250,74196640,169455140,2.5577956822750725,20.928835305868635,47.79864312983597
1969,122227970,47815950,74412020,170043920,2.5562175382900474,20.558694041620427,46.980056782731886
1970,124135900,48163468,75972432,172299368,2.5773870768608274,20.562634378448248,46.63440164481908
1971,123739680,49384108,74355572,173123788,2.5056578930209694,19.723759319542854,45.92328234660829
1972,123554020,47770224,75783796,171324244,2.5864232916303678,19.710121835731865,44.55862467821821
1973,123563930,47573276,75990654,171137206,2.5973391027349053,19.38139060865383,43.6484865251937
1974,122709410,47478096,75231314,170187506,2.5845478302247,18.824694956063258,42.58503162370905
1975,121030100,47622990,73407110,168653090,2.5414216956978133,18.032887173649105,41.43062086843206
1976,121322350,47707256,73615094,169029606,2.543058649191645,17.763204021782506,40.78657261647336
1977,120786520,47166790,73619730,167953310,2.560838250811641,17.454269165784126,39.81951957748804
1978,122140650,47293144,74847506,169433794,2.582629101588171,17.438444960171207,39.47575609348943
1979,125000296,46963884,78036412,171964180,2.6616260273532744,17.863272529122046,39.36422669698087
1980,127446984,47349924,80097060,174796908,2.69159849126685,18.009026806293893,39.30134516584364
1981,129715840,47470790,82245050,177186630,2.7325401578528608,18.16054189527861,39.124606494837444
1982,133206504,47659344,85547160,180865848,2.794971412111757,18.546112482580778,39.210633775163984
1983,131967710,48206576,83761134,180174286,2.7375458070284853,17.831656979056504,38.35676418132571
1984,134365260,48430624,85934636,182795884,2.7743863056565203,17.9697787495553,38.224419683460056
1985,136373950,48772812,87601138,185146762,2.7961059534562,17.991816658716232,38.02606533329475
1986,139301170,48643612,90657558,187944782,2.863709421907238,18.284837868232053,37.90682148145021
1987,141346560,48657012,92689548,190003572,2.904957665711162,18.355287739509627,37.626359291283144
1988,140985950,49183184,91802766,190169134,2.8665478428562086,17.853539320770775,36.98354918266762
1989,142249020,49178264,93070756,191427284,2.892518125487309,17.780489018493146,36.57078621991604
1990,143461420,49794344,93667076,193255764,2.881078622102141,17.58080659822341,36.27306793345302
1991,138306860,50108430,88198430,188415290,2.7601515353803743,16.276569269203907,34.77107834076119
1992,136591250,50281870,86309380,186873120,2.7165109412199664,15.675542981366739,33.939968339734385
1993,135632140,50831804,84800336,186463944,2.6682535209649454,15.165815352077367,33.34748278030519
1994,135142910,51930610,83212300,187073520,2.602374784351657,14.661536160510877,32.96129512288513
1995,134850050,51406890,83443160,186256940,2.623190198823543,14.489479694443663,32.34256888256883
1996,134321020,51410956,82910064,185731976,2.6126925163577974,14.19193308517103,31.79222941099879
1997,133985670,51432010,82553660,185417680,2.605102736603139,13.933606151305787,31.29524392508882
